,Mean_MpH,Latitude,Longitude
0,14.444858700084238,40.701609999999995,-74.01201
1,14.481544306498158,40.70179,-74.01116
2,14.027670327296828,40.701879999999996,-74.0108
3,10.555210692651336,40.70193,-74.00986
4,15.260440355876547,40.702009999999994,-74.00959
5,14.155366779385934,40.70239,-74.01379
6,14.410156907086208,40.70243,-74.00904
7,12.648003055077162,40.70244,-74.01284
8,14.615657624689351,40.702709999999996,-74.01221
9,14.476085093627796,40.70297,-74.01151
10,14.225381020131067,40.70305,-74.00779
11,15.424537085416523,40.70312,-74.013
12,14.515676451415889,40.70315,-74.01444000000001
13,14.249088035681366,40.70321,-74.00798
14,14.29898826015613,40.70321,-74.01257
15,14.700110950197883,40.70332,-74.00778000000001
16,14.132046449873153,40.703520000000005,-74.01158000000001
17,14.85251563985863,40.703590000000005,-74.01311
18,14.703739431844882,40.70361,-74.0144
19,15.036267985435297,40.70377,-74.00706
20,14.535644051615197,40.70381,-74.00832
21,14.427433369614977,40.704029999999996,-74.01158000000001
22,14.304011763171419,40.70406,-74.01319000000001
23,15.127368480284648,40.70408,-74.00896
24,14.784747261340563,40.704209999999996,-74.00879
25,14.972054645654232,40.70425,-74.01156999999999
26,14.533569821489948,40.70426,-74.00629
27,14.900856442961029,40.70428,-74.00766999999999
28,14.741544551702807,40.70451,-74.00941999999999
29,14.846616588764146,40.70452,-74.01424
30,17.281417879230915,40.70463,-74.01422
31,14.595235399851743,40.70473,-74.01501
32,14.556911656468316,40.7048,-74.00695
33,15.281576015090343,40.7048,-74.0164
34,15.180187310967204,40.70482,-74.01496
35,15.206904666598057,40.70483,-74.01691
36,14.62440210080744,40.704840000000004,-74.01565
37,14.591821121962196,40.70486,-74.00888
38,14.4670925252668,40.704879999999996,-74.01642
39,14.281524635016552,40.70492,-74.01735
40,14.592881376225613,40.70494,-74.01564
41,14.514013234272367,40.70499,-74.01155
42,14.792833342722883,40.705040000000004,-74.01332
43,13.849836254623238,40.70507,-74.01647
44,14.59511851557554,40.70514,-74.01680999999999
45,14.099983574517696,40.70515,-74.00998
46,14.846090345909516,40.70518,-74.00739
47,14.190168548105317,40.70524,-74.00475
48,14.35324418532927,40.70531,-74.00901999999999
49,14.412588665365647,40.70541,-74.00447
50,19.050103758577304,40.70545,-74.00801
51,15.267062293393453,40.70554,-74.00905
52,14.422880361064623,40.70555,-74.00795
53,14.644611657301304,40.70562,-74.00676999999999
54,14.791236183714975,40.70579,-74.00386
55,14.78968136771167,40.70579,-74.00551
56,14.757104230559268,40.70579,-74.01701
57,14.448957746554406,40.7058,-74.00986999999999
58,14.352269378751052,40.705870000000004,-74.01324
59,14.72011158104057,40.70599,-74.00522
60,14.686363109424045,40.70602,-74.00883
61,15.143252396000605,40.70605,-74.00745
62,15.013955569285804,40.70615,-74.00601999999999
63,14.241429333773226,40.706179999999996,-74.01793
64,14.191664638391149,40.70629,-74.01431
65,15.027521840245438,40.706379999999996,-74.00569
66,14.5166809897117,40.706379999999996,-74.00713
67,14.368670581653296,40.706379999999996,-74.0095
68,14.190791831796227,40.70641,-74.00456
69,15.20262741880616,40.70644,-74.0151
70,14.426327199622778,40.70645,-74.00238
71,14.703523375281032,40.7065,-74.01674
72,14.75066891349819,40.70663,-74.01623000000001
73,14.443268739632035,40.70668,-74.01595
74,14.67475970969878,40.70671,-74.00233
75,14.436384182366611,40.706720000000004,-74.00678
76,14.180023373601422,40.70683,-74.01756999999999
77,14.62258462830206,40.70685,-74.005
78,14.505333047086065,40.706920000000004,-74.01355
79,14.682733579871417,40.70695,-74.009
80,9.944218980543676,40.706959999999995,-74.01351
81,14.836462033183082,40.706990000000005,-74.00647
82,14.883896117796262,40.70705,-74.0158
83,12.65370858255362,40.70709,-74.00148
84,10.930861710009555,40.70709,-74.01397
85,14.33970915714693,40.70714,-74.01394
86,14.934501886524357,40.707159999999995,-74.01601
87,14.82657787190517,40.707209999999996,-74.00595
88,14.34844545883606,40.70722,-74.00274
89,14.636557749525773,40.70722,-74.00746
90,14.54894357327167,40.70729,-74.00131999999999
91,14.881811088676589,40.70731,-74.0157
92,14.513629090775352,40.70733,-74.00864
93,14.489590403798928,40.707390000000004,-74.00548
94,14.58718661229115,40.707440000000005,-74.00102
95,14.576370577056434,40.70745,-74.00409
96,14.514232911236077,40.70745,-74.01195
97,13.092071088661411,40.70746,-74.01711999999999
98,14.86411525673295,40.70767,-74.00310999999999
99,14.497879702082251,40.70769,-74.0102
100,13.419545950709235,40.7077,-74.01550999999999
101,14.613573499884295,40.70772,-74.00827
102,14.494801689255498,40.70775,-74.01578
103,16.89599567991,40.70776,-74.00168000000001
104,14.673719777821296,40.70778,-74.01295999999999
105,14.641436517023196,40.707840000000004,-74.00433000000001
106,14.891715197775167,40.70786,-74.00684
107,14.497164060683238,40.707879999999996,-74.00147
108,14.60672796950321,40.7079,-74.00601999999999
109,14.688694861053415,40.70791,-74.00014
110,14.421083602812528,40.70798,-74.0136
111,14.884482533862489,40.70799,-74.00802
112,14.509657011126057,40.708059999999996,-74.00346
113,13.709343704003597,40.708090000000006,-74.00004
114,14.756202893743573,40.70812,-74.00983000000001
115,14.75401219494992,40.70813,-74.01663
116,14.737577605945964,40.70823,-74.00653
117,14.62642695343498,40.70823,-74.01438
118,1.162550679976156,40.70827,-74.0019
119,14.807176374550604,40.708290000000005,-73.99943
120,15.686619610799506,40.7083,-74.01125
121,14.870666074521518,40.70835,-74.00046999999999
122,14.888097296936904,40.70836,-74.00765
123,14.676399432771971,40.70841,-74.00477
124,14.500561945583113,40.708459999999995,-74.0174
125,14.18009934605171,40.708490000000005,-73.99931
126,14.575602819837266,40.708490000000005,-74.0152
127,15.050146873099022,40.70855,-73.999
128,15.43590875263323,40.70859,-74.01101
129,14.598849945673976,40.70861,-74.00936999999999
130,14.450613317728084,40.708709999999996,-74.00729
131,15.243287727228244,40.70874,-74.01326
132,14.67066509926373,40.70877,-73.99925999999999
133,14.425080126889204,40.70879,-74.00086
134,14.360837183889661,40.7088,-74.01085
135,18.639792465066236,40.70884,-73.99935
136,14.660213237509055,40.70885,-74.0025
137,14.379508033305289,40.70898,-73.99783000000001
138,14.504004177917063,40.70899,-74.01213
139,14.462494713926356,40.70903,-73.99685
140,14.440295154585423,40.70904,-74.00889000000001
141,14.2525209458248,40.70906,-74.01696
142,17.502944431804877,40.709070000000004,-74.01208000000001
143,14.498314631129304,40.70909,-74.00546999999999
144,14.900380601492088,40.70909,-74.01405
145,14.572621992894113,40.70915,-74.01054
146,14.72203028224966,40.70916,-74.01308
147,14.675580083641115,40.70921,-73.99623000000001
148,13.234153073725379,40.70923,-74.00019
149,15.511757276502763,40.70925,-73.99593
150,14.92376844397515,40.709309999999995,-74.01193
151,14.9213946173111,40.70935,-74.01299
152,14.891019232361444,40.70935,-74.01675
153,15.113414183012404,40.70941,-74.00511999999999
154,14.287255307843838,40.70945,-74.01486
155,14.998162003710727,40.70949,-74.00166
156,14.319923507161354,40.709509999999995,-74.01389
157,14.55930327315983,40.70952,-73.99403000000001
158,14.56591312367751,40.70953,-74.00842
159,14.424983074382615,40.709559999999996,-74.00643000000001
160,15.667412416339555,40.7096,-74.00155
161,14.948143676930139,40.70966,-74.00483
162,14.600893707889913,40.70969,-74.01167
163,14.693511105190614,40.70971,-74.01284
164,13.807213049925299,40.70971,-74.01508000000001
165,15.60192458303336,40.70975,-73.99638
166,13.72625493467965,40.709790000000005,-73.99608
167,14.735967796110494,40.7098,-73.99198
168,14.72649659131675,40.70981,-74.00999
169,15.24660771210903,40.70983,-73.99178
170,15.194095045721513,40.70983,-74.01473
171,14.607382384692126,40.70983,-74.01504
172,14.466770307597779,40.70988,-74.0007
173,14.573378312635096,40.709920000000004,-74.00608000000001
174,15.00151771065996,40.71006,-74.00121
175,14.25188991316032,40.71008,-74.01638
176,14.674890081389165,40.71009,-73.9941
177,14.605073600695611,40.71013,-73.98978000000001
178,14.753659637021237,40.71018,-74.00766999999999
